date,ticker,held,close,state,zone_lo,zone_hi,poc,pct_in_profit,wk_circle,wk_score,wk_weeks,monthly_up,vh_status,whale,absorption,divergence,shelf_stable,conv_score,conv_tier,gates_ok,gates_failed,ftag,rs12_rank,origin,whale_rank,candle
2026-07-14,9992,1,152,CAUTION,151.17,158.89,154.259,15.87,WHITE,0,20,0,INSIDE,0,0,0,1,18,fails,0,G2 trend;G3 leader;G4 basis,F:—,,holding,,YELLOW
2026-07-14,AAL,0,16.31,HOLD,15.51,16.3,15.829,75.22,RED,4,8,1,BREAKOUT,0,0,0,0,48,fails,0,G3 leader,F:2/3,,shadow-screen,,YELLOW
2026-07-14,AAOI,0,111.88,PULLBACK,95.31,100.18,170.785,32.51,AMBER,2,1,1,BREAKDOWN,0,1,0,0,48,fails,0,G2 trend;G4 basis,F:1/3,,shadow-screen,,YELLOW
2026-07-14,AAPL,1,317.31,ACCUMULATE,304.78,320.32,310.995,98.96,RED,4,16,1,BREAKOUT,0,1,0,1,70,fails,0,G1 size,F:2/3,10,holding,3,RED
2026-07-14,ABBV,0,248,ACCUMULATE,244.3,256.76,225.872,86.42,RED,4,6,1,BREAKOUT,0,0,0,1,48,fails,0,G3 leader,F:2/3,,shadow-screen,,YELLOW
2026-07-14,ABT,0,92.11,CAUTION,89,93.54,88.2856,40.42,WHITE,0,38,0,,0,0,0,0,22,fails,0,G2 trend;G3 leader,F:2/3,,shadow-screen,,NEUTRAL
2026-07-14,ACN,0,138.52,CAUTION,124.34,130.68,126.877,31.08,WHITE,0,25,0,BREAKDOWN,0,1,0,0,18,fails,0,G2 trend;G3 leader,F:1/2,,shadow-screen,,RED
2026-07-14,ADBE,0,230.61,CAUTION,221.68,232.99,243.185,33.03,WHITE,0,84,0,,1,1,0,1,13,fails,0,G2 trend;G3 leader;G4 basis,F:3/3,,owner-request,,RED
2026-07-14,ADI,0,386.01,HOLD,343.86,361.41,392.536,50.49,RED,3,36,1,BREAKOUT,0,1,0,0,53,fails,0,G4 basis,F:3/3,,shadow-screen,,YELLOW
2026-07-14,ALAB,0,362.05,HOLD,207.63,218.22,123.076,77.46,RED,4,13,1,,0,0,0,0,78,CONVICTION,1,,F:3/3,,owner-request,,YELLOW
2026-07-14,AMAT,0,575.39,HOLD,432.78,454.86,391.467,74.14,RED,4,44,1,BREAKOUT,0,0,0,0,65,fails,0,G1 size,F:2/3,,owner-request,,YELLOW
2026-07-14,AMD,1,534.39,ACCUMULATE,523.24,549.94,215.827,93.42,RED,4,18,1,BREAKOUT,0,0,0,1,70,fails,0,G1 size,F:3/3,2,holding,7,YELLOW
2026-07-14,AMZN,0,247.31,ACCUMULATE,241.6,253.92,230.099,73.45,RED,3,3,1,BREAKDOWN,1,1,1,1,40,fails,0,G1 size;G3 leader,F:3/3,17,owner-request,1,RED
2026-07-14,ANET,0,181.15,HOLD,161.94,170.2,142.771,97.1,RED,4,14,1,BREAKOUT,0,0,0,0,67,STARTER,1,,F:3/3,,owner-request,,RED
2026-07-14,APH,0,155.99,HOLD,144.19,151.55,147.137,82.53,RED,4,8,1,BREAKOUT,0,0,0,0,62,STARTER,1,,F:3/3,,shadow-screen,,YELLOW
2026-07-14,APP,0,442.85,CAUTION,378.85,398.18,466.365,25.98,WHITE,0,1,0,BREAKDOWN,0,1,0,0,13,fails,0,G2 trend;G3 leader;G4 basis,F:2/2,,owner-request,,YELLOW
2026-07-14,ARM,0,298.99,HOLD,206.46,216.99,210.673,61.13,RED,4,15,1,,0,0,0,0,69,STARTER,1,,F:3/3,,owner-request,,YELLOW
2026-07-14,ASML,0,1726.04,HOLD,1485.42,1561.21,1379.34,71.04,RED,4,48,1,,0,0,0,0,64,STARTER,1,,F:1/1,,owner-request,,YELLOW
2026-07-14,ASTS,0,67.58,CAUTION,,,86.0499,12.37,WHITE,1,1,0,BREAKDOWN,0,0,0,0,23,fails,0,G2 trend;G4 basis,F:0/2,,owner-request,,YELLOW
2026-07-14,AVGO,1,384.05,ACCUMULATE,372.14,391.13,379.737,62.33,RED,3,2,1,BREAKDOWN,0,0,0,1,40,fails,0,G1 size;G3 leader,F:3/3,12,holding,12,NEUTRAL
2026-07-14,AXON,0,547.03,CAUTION,536.85,564.24,393.819,70.57,WHITE,1,36,1,,0,0,0,1,37,fails,0,G2 trend;G3 leader,F:3/3,,owner-request,,NEUTRAL
2026-07-14,AXP,0,354.43,HOLD,334.64,351.72,313.649,86.49,RED,3,3,1,BREAKOUT,0,0,0,0,47,fails,0,G3 leader,F:2/3,,shadow-screen,,RED
